ID,filial,cidade,tipo_cliente,tipo,preço,quantidade,data,horário,pagamento,custo,rendimento,avaliação
172-42-8274,Big Box,Ceilândia,Normal,Tecnologia,38.27,2.00,3/2/2019,18.18,Crédito,76.54,3.83,5.80
173-50-1108,Big Box,Ceilândia,Membro,Esportes,20.18,4.00,2/13/2019,12.14,Crédito,80.72,04.04,5.00
173-57-2300,Carrefour,Sobradinho,Membro,Esportes,72.88,2.00,3/13/2019,12.51,Dinheiro,145.76,7.29,6.10
173-82-9529,Big Box,Ceilândia,Normal,Acessórios,37.95,10.00,1/26/2019,14.51,Dinheiro,379.50,18.98,9.70
174-36-3675,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,99.37,2.00,2/14/2019,17.29,Dinheiro,198.74,9.94,5.20
174-64-0215,Big Box,Ceilândia,Normal,Esportes,69.74,10.00,3/5/2019,17.49,Crédito,697.40,34.87,8.90
174-75-0888,Big Box,Ceilândia,Normal,Tecnologia,21.58,9.00,3/14/2019,12.32,Dinheiro,194.22,9.71,7.30
175-54-2529,Assaí,Taguatinga,Membro,Alimentos e Bedidas,22.17,8.00,3/3/2019,17.01,Crédito,177.36,8.87,9.60
176-64-7711,Big Box,Ceilândia,Normal,Alimentos e Bedidas,32.32,3.00,3/27/2019,19.11,Crédito,96.96,4.85,4.30
176-78-1170,Carrefour,Sobradinho,Membro,Saúde e Beleza,33.81,3.00,1/26/2019,15.11,Pix,101.43,05.07,7.30
181-82-6255,Big Box,Ceilândia,Normal,Utensílios paraCasa,16.37,6.00,2/8/2019,10.58,Dinheiro,98.22,4.91,7.00
181-94-6432,Carrefour,Sobradinho,Membro,Acessórios,69.33,2.00,2/5/2019,19.05,Pix,138.66,6.93,9.70
182-52-7000,Assaí,Taguatinga,Membro,Esportes,27.04,4.00,1/1/2019,20.26,Pix,108.16,5.41,6.90
182-69-8360,Big Box,Ceilândia,Normal,Tecnologia,23.65,4.00,1/30/2019,13.32,Crédito,94.60,4.73,4.00
182-88-2763,Big Box,Ceilândia,Membro,Alimentos e Bedidas,79.91,3.00,3/20/2019,19.28,Crédito,239.73,11.99,5.00
183-21-3799,Carrefour,Sobradinho,Normal,Tecnologia,77.63,9.00,2/19/2019,15.14,Pix,698.67,34.93,7.20
183-56-6882,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,99.42,4.00,2/6/2019,10.42,Pix,397.68,19.88,7.50
186-09-3669,Carrefour,Sobradinho,Membro,Saúde e Beleza,81.51,1.00,1/22/2019,10.57,Pix,81.51,04.08,9.20
186-43-8965,Assaí,Taguatinga,Membro,Utensílios paraCasa,47.68,2.00,2/24/2019,10.1,Crédito,95.36,4.77,4.10
186-71-5196,Assaí,Taguatinga,Membro,Alimentos e Bedidas,79.54,2.00,3/27/2019,16.3,Pix,159.08,7.95,6.20
186-79-9562,Big Box,Ceilândia,Normal,Saúde e Beleza,71.77,7.00,3/29/2019,14.06,Dinheiro,502.39,25.12,8.90
187-83-5490,Assaí,Taguatinga,Membro,Tecnologia,20.77,4.00,1/31/2019,13.47,Dinheiro,83.08,4.15,4.70
188-55-0967,Big Box,Ceilândia,Membro,Saúde e Beleza,66.47,10.00,1/15/2019,15.01,Crédito,664.70,33.24,5.00
189-08-9157,Carrefour,Sobradinho,Normal,Acessórios,31.73,9.00,1/8/2019,16.17,Crédito,285.57,14.28,5.90
189-17-4241,Assaí,Taguatinga,Normal,Acessórios,87.67,2.00,3/10/2019,12.17,Crédito,175.34,8.77,7.70
189-40-5216,Carrefour,Sobradinho,Normal,Tecnologia,96.37,7.00,1/9/2019,11.4,Dinheiro,674.59,33.73,6.00
189-52-0236,Assaí,Taguatinga,Normal,Tecnologia,99.55,7.00,3/14/2019,12.07,Dinheiro,696.85,34.84,7.60
189-55-2313,Carrefour,Sobradinho,Normal,Acessórios,62.18,10.00,1/31/2019,10.33,Pix,621.80,31.09,6.00
189-98-2939,Carrefour,Sobradinho,Normal,Acessórios,78.55,9.00,3/1/2019,13.22,Dinheiro,706.95,35.35,7.20
190-14-3147,Big Box,Ceilândia,Normal,Saúde e Beleza,17.97,4.00,2/23/2019,20.43,Pix,71.88,3.59,6.40
190-59-3964,Big Box,Ceilândia,Membro,Alimentos e Bedidas,47.16,5.00,2/3/2019,14.35,Crédito,235.80,11.79,6.00
191-10-6171,Big Box,Ceilândia,Normal,Acessórios,39.62,7.00,1/25/2019,13.18,Dinheiro,277.34,13.87,7.50
191-29-0321,Big Box,Ceilândia,Membro,Acessórios,19.77,10.00,2/27/2019,18.57,Crédito,197.70,9.89,5.00
192-98-7397,Carrefour,Sobradinho,Normal,Acessórios,12.78,1.00,1/8/2019,14.11,Pix,12.78,0.64,9.50
195-06-0432,Assaí,Taguatinga,Membro,Utensílios paraCasa,81.01,3.00,1/13/2019,12.55,Crédito,243.03,12.15,9.30
196-01-2849,Carrefour,Sobradinho,Membro,Acessórios,73.38,7.00,2/10/2019,13.56,Dinheiro,513.66,25.68,9.50
197-77-7132,Big Box,Ceilândia,Membro,Tecnologia,91.56,8.00,1/12/2019,18.22,Pix,732.48,36.62,6.00
198-66-9832,Big Box,Ceilândia,Membro,Acessórios,72.04,2.00,2/4/2019,19.38,Dinheiro,144.08,7.20,9.50
198-84-7132,Big Box,Ceilândia,Membro,Acessórios,40.61,9.00,1/2/2019,13.4,Dinheiro,365.49,18.27,7.00
199-75-8169,Assaí,Taguatinga,Membro,Esportes,15.81,10.00,3/6/2019,12.27,Crédito,158.10,7.91,8.60
200-16-5952,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,65.65,2.00,1/17/2019,16.46,Dinheiro,131.30,6.57,6.00
200-40-6154,Big Box,Ceilândia,Membro,Utensílios paraCasa,65.91,6.00,2/9/2019,11.45,Dinheiro,395.46,19.77,5.70
201-63-8275,Carrefour,Sobradinho,Membro,Esportes,67.99,7.00,2/17/2019,16.5,Pix,475.93,23.80,5.70
201-86-2184,Big Box,Ceilândia,Membro,Tecnologia,26.26,7.00,2/2/2019,19.4,Dinheiro,183.82,9.19,9.90
207-73-1363,Big Box,Ceilândia,Normal,Saúde e Beleza,69.51,2.00,3/1/2019,12.15,Pix,139.02,6.95,8.10
209-61-0206,Assaí,Taguatinga,Normal,Utensílios paraCasa,42.91,5.00,1/5/2019,17.29,Pix,214.55,10.73,6.10
210-30-7976,Big Box,Ceilândia,Membro,Acessórios,22.32,4.00,3/14/2019,11.16,Pix,89.28,4.46,4.10
210-57-1719,Big Box,Ceilândia,Normal,Saúde e Beleza,58.24,9.00,2/5/2019,12.34,Dinheiro,524.16,26.21,9.70
210-67-5886,Carrefour,Sobradinho,Membro,Saúde e Beleza,98.21,3.00,2/5/2019,10.41,Crédito,294.63,14.73,7.80
210-74-9613,Carrefour,Sobradinho,Normal,Acessórios,97.26,4.00,3/16/2019,15.33,Pix,389.04,19.45,6.80
211-05-0490,Carrefour,Sobradinho,Membro,Tecnologia,51.92,5.00,3/3/2019,13.42,Dinheiro,259.60,12.98,7.50
211-30-9270,Carrefour,Sobradinho,Normal,Saúde e Beleza,17.41,5.00,1/28/2019,15.16,Crédito,87.05,4.35,4.90
212-62-1842,Assaí,Taguatinga,Normal,Alimentos e Bedidas,58.26,6.00,3/28/2019,16.44,Dinheiro,349.56,17.48,9.90
213-32-1216,Assaí,Taguatinga,Normal,Tecnologia,66.06,6.00,1/23/2019,10.28,Dinheiro,396.36,19.82,7.30
213-72-6612,Assaí,Taguatinga,Normal,Alimentos e Bedidas,43.25,2.00,3/20/2019,15.56,Dinheiro,86.50,4.33,6.20
214-17-6927,Carrefour,Sobradinho,Normal,Alimentos e Bedidas,16.48,6.00,2/7/2019,18.23,Pix,98.88,4.94,9.90
214-30-2776,Big Box,Ceilândia,Membro,Tecnologia,34.49,5.00,3/11/2019,19.44,Crédito,172.45,8.62,9.00
217-58-1179,Assaí,Taguatinga,Membro,Utensílios paraCasa,62.65,4.00,1/5/2019,11.25,Dinheiro,250.60,12.53,4.20
218-59-9410,Assaí,Taguatinga,Membro,Utensílios paraCasa,72.42,3.00,3/29/2019,16.54,Pix,217.26,10.86,8.20
219-22-9386,Big Box,Ceilândia,Membro,Esportes,99.96,9.00,3/9/2019,17.26,Crédito,899.64,44.98,4.20
219-61-4139,Carrefour,Sobradinho,Normal,Tecnologia,83.08,1.00,1/23/2019,17.16,Pix,83.08,4.15,6.40
220-28-1851,Assaí,Taguatinga,Normal,Utensílios paraCasa,34.73,2.00,3/1/2019,18.14,Pix,69.46,3.47,9.70
220-68-6701,Assaí,Taguatinga,Normal,Utensílios paraCasa,77.47,4.00,3/17/2019,16.36,Dinheiro,309.88,15.49,4.20
221-25-5073,Assaí,Taguatinga,Normal,Alimentos e Bedidas,74.66,4.00,3/4/2019,10.39,Dinheiro,298.64,14.93,8.50
222-42-0244,Big Box,Ceilândia,Membro,Saúde e Beleza,72.11,9.00,1/28/2019,13.53,Crédito,648.99,32.45,7.70
225-32-0908,Carrefour,Sobradinho,Normal,Esportes,44.86,10.00,1/26/2019,19.54,Pix,448.60,22.43,8.20
225-98-1496,Carrefour,Sobradinho,Normal,Acessórios,27.02,3.00,3/2/2019,13.01,Crédito,81.06,04.05,7.10
226-31-3081,Carrefour,Sobradinho,Normal,Tecnologia,15.28,5.00,3/8/2019,10.29,Dinheiro,76.40,3.82,9.60
226-34-0034,Big Box,Ceilândia,Normal,Tecnologia,13.78,4.00,1/10/2019,11.1,Pix,55.12,2.76,9.00
226-71-3580,Carrefour,Sobradinho,Normal,Esportes,23.75,9.00,1/31/2019,12.02,Dinheiro,213.75,10.69,9.50
227-03-5010,Assaí,Taguatinga,Membro,Utensílios paraCasa,52.59,8.00,3/22/2019,19.2,Crédito,420.72,21.04,8.50
227-07-4446,Carrefour,Sobradinho,Membro,Tecnologia,78.13,10.00,2/10/2019,20.51,Dinheiro,781.30,39.07,4.40
227-50-3718,Assaí,Taguatinga,Normal,Saúde e Beleza,14.62,5.00,3/4/2019,12.23,Dinheiro,73.10,3.66,4.40
227-78-1148,Big Box,Ceilândia,Normal,Acessórios,72.84,7.00,2/15/2019,12.44,Dinheiro,509.88,25.49,8.40
228-96-1411,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,98.70,8.00,3/4/2019,20.39,Dinheiro,789.60,39.48,7.60
232-11-3025,Assaí,Taguatinga,Normal,Esportes,78.77,10.00,1/24/2019,10.04,Dinheiro,787.70,39.39,6.40
232-16-2483,Carrefour,Sobradinho,Membro,Esportes,68.12,1.00,1/7/2019,12.28,Pix,68.12,3.41,6.80
233-34-0817,Carrefour,Sobradinho,Membro,Tecnologia,98.84,1.00,2/15/2019,11.21,Dinheiro,98.84,4.94,8.40
233-67-5758,Carrefour,Sobradinho,Normal,Saúde e Beleza,40.35,1.00,1/29/2019,13.46,Pix,40.35,02.02,6.20
234-03-4040,Big Box,Ceilândia,Membro,Alimentos e Bedidas,73.05,10.00,3/3/2019,12.25,Crédito,730.50,36.53,8.70
234-36-2483,Big Box,Ceilândia,Normal,Saúde e Beleza,57.59,6.00,2/15/2019,13.51,Dinheiro,345.54,17.28,5.10
234-65-2137,Carrefour,Sobradinho,Normal,Utensílios paraCasa,95.58,10.00,1/16/2019,13.32,Dinheiro,955.80,47.79,4.80
235-06-8510,Carrefour,Sobradinho,Membro,Utensílios paraCasa,85.72,3.00,1/24/2019,20.59,Pix,257.16,12.86,5.10
235-46-8343,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,27.66,10.00,2/14/2019,11.26,Crédito,276.60,13.83,8.90
236-27-1144,Carrefour,Sobradinho,Normal,Alimentos e Bedidas,16.31,9.00,3/26/2019,10.31,Pix,146.79,7.34,8.40
236-86-3015,Carrefour,Sobradinho,Membro,Utensílios paraCasa,13.98,1.00,2/4/2019,13.38,Pix,13.98,0.70,9.80
237-01-6122,Carrefour,Sobradinho,Membro,Utensílios paraCasa,80.79,9.00,2/1/2019,20.31,Crédito,727.11,36.36,9.50
237-44-6163,Assaí,Taguatinga,Normal,Tecnologia,10.56,8.00,1/24/2019,17.43,Dinheiro,84.48,4.22,7.60
238-45-6950,Big Box,Ceilândia,Membro,Alimentos e Bedidas,53.72,1.00,3/1/2019,20.03,Pix,53.72,2.69,6.40
238-49-0436,Assaí,Taguatinga,Normal,Saúde e Beleza,32.46,8.00,3/27/2019,13.48,Crédito,259.68,12.98,4.90
239-10-7476,Assaí,Taguatinga,Normal,Utensílios paraCasa,77.95,6.00,1/21/2019,16.37,Pix,467.70,23.39,8.00
239-36-3640,Big Box,Ceilândia,Normal,Tecnologia,45.35,6.00,1/31/2019,13.44,Pix,272.10,13.61,6.10
239-48-4278,Assaí,Taguatinga,Membro,Alimentos e Bedidas,10.13,7.00,3/10/2019,19.35,Pix,70.91,3.55,8.30
241-11-2261,Big Box,Ceilândia,Normal,Acessórios,79.86,7.00,1/10/2019,10.33,Crédito,559.02,27.95,5.50
241-72-9525,Big Box,Ceilândia,Normal,Esportes,51.91,10.00,2/16/2019,12.21,Dinheiro,519.10,25.96,8.20
241-96-5076,Big Box,Ceilândia,Membro,Utensílios paraCasa,49.10,2.00,1/8/2019,12.58,Crédito,98.20,4.91,6.40
242-11-3142,Big Box,Ceilândia,Membro,Acessórios,83.77,2.00,2/24/2019,19.57,Dinheiro,167.54,8.38,4.60
242-55-6721,Big Box,Ceilândia,Normal,Utensílios paraCasa,16.16,2.00,3/7/2019,11.49,Pix,32.32,1.62,6.50
243-47-2663,Carrefour,Sobradinho,Membro,Tecnologia,18.77,6.00,1/28/2019,16.43,Crédito,112.62,5.63,5.50
243-55-8457,Assaí,Taguatinga,Normal,Alimentos e Bedidas,74.44,10.00,2/27/2019,11.4,Pix,744.40,37.22,5.10
244-08-0162,Big Box,Ceilândia,Normal,Saúde e Beleza,34.21,10.00,1/2/2019,13,Dinheiro,342.10,17.11,5.10
246-11-3901,Carrefour,Sobradinho,Normal,Tecnologia,32.80,10.00,2/15/2019,12.12,Dinheiro,328.00,16.40,6.20
246-55-6923,Carrefour,Sobradinho,Membro,Utensílios paraCasa,35.79,9.00,3/10/2019,15.06,Crédito,322.11,16.11,5.10
247-11-2470,Assaí,Taguatinga,Membro,Acessórios,22.32,4.00,3/1/2019,16.23,Crédito,89.28,4.46,4.40
249-42-3782,Assaí,Taguatinga,Normal,Saúde e Beleza,70.01,5.00,1/3/2019,11.36,Pix,350.05,17.50,5.50
250-17-5703,Assaí,Taguatinga,Membro,Alimentos e Bedidas,18.85,10.00,2/27/2019,18.24,Pix,188.50,9.43,5.60
250-81-7186,Carrefour,Sobradinho,Normal,Tecnologia,99.69,1.00,2/27/2019,10.23,Crédito,99.69,4.98,8.00
252-56-2699,Assaí,Taguatinga,Normal,Alimentos e Bedidas,43.19,10.00,2/7/2019,16.48,Pix,431.90,21.60,8.20
253-12-6086,Assaí,Taguatinga,Membro,Esportes,98.40,7.00,3/12/2019,12.43,Crédito,688.80,34.44,8.70
254-31-0042,Assaí,Taguatinga,Membro,Tecnologia,21.50,9.00,3/6/2019,12.46,Crédito,193.50,9.68,7.80
256-08-8343,Assaí,Taguatinga,Normal,Utensílios paraCasa,56.53,4.00,3/4/2019,19.48,Pix,226.12,11.31,5.50
256-58-3609,Carrefour,Sobradinho,Membro,Acessórios,91.98,1.00,3/18/2019,15.29,Dinheiro,91.98,4.60,9.80
257-60-7754,Assaí,Taguatinga,Normal,Tecnologia,50.23,4.00,1/8/2019,17.12,Dinheiro,200.92,10.05,9.00
257-73-1380,Carrefour,Sobradinho,Membro,Esportes,82.93,4.00,1/20/2019,16.51,Pix,331.72,16.59,9.60
258-69-7810,Carrefour,Sobradinho,Normal,Acessórios,36.85,5.00,1/26/2019,18.53,Dinheiro,184.25,9.21,9.20
258-92-7466,Assaí,Taguatinga,Normal,Saúde e Beleza,35.68,5.00,2/6/2019,18.33,Crédito,178.40,8.92,6.60
261-12-8671,Big Box,Ceilândia,Normal,Acessórios,60.96,2.00,1/25/2019,19.39,Crédito,121.92,6.10,4.90
262-47-2794,Big Box,Ceilândia,Membro,Utensílios paraCasa,71.86,8.00,3/6/2019,15.07,Crédito,574.88,28.74,6.20
263-10-3913,Carrefour,Sobradinho,Membro,Acessórios,49.04,9.00,1/9/2019,14.2,Crédito,441.36,22.07,8.60
263-12-5321,Assaí,Taguatinga,Membro,Tecnologia,92.60,7.00,2/27/2019,12.52,Crédito,648.20,32.41,9.30
263-87-5680,Carrefour,Sobradinho,Membro,Utensílios paraCasa,28.53,10.00,3/18/2019,17.38,Pix,285.30,14.27,7.80
266-20-6657,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,55.04,7.00,3/12/2019,19.39,Pix,385.28,19.26,5.20
266-76-6436,Carrefour,Sobradinho,Membro,Alimentos e Bedidas,38.60,3.00,3/28/2019,13.57,Pix,115.80,5.79,7.50
267-62-7380,Carrefour,Sobradinho,Membro,Tecnologia,82.34,10.00,3/29/2019,19.12,Pix,823.40,41.17,4.30
268-03-6164,Big Box,Ceilândia,Normal,Saúde e Beleza,96.11,1.00,1/25/2019,16.28,Pix,96.11,4.81,7.80
268-20-3585,Carrefour,Sobradinho,Normal,Saúde e Beleza,13.85,9.00,2/4/2019,12.5,Pix,124.65,6.23,6.00
268-27-6179,Big Box,Ceilândia,Membro,Acessórios,56.47,8.00,3/9/2019,14.57,Pix,451.76,22.59,7.30
269-04-5750,Big Box,Ceilândia,Membro,Acessórios,73.82,4.00,2/21/2019,18.31,Dinheiro,295.28,14.76,6.70
